avg_salary,Location,job_state,Company_Size,Company_Size - Description,company_age,python_yn,R_yn,spark,aws,excel,Job_Title,Type of ownership_College / University,Type of ownership_Company - Private,Type of ownership_Company - Public,Type of ownership_Government,Type of ownership_Hospital,Type of ownership_Nonprofit Organization,Type of ownership_Other Organization,Type of ownership_School / School District,Type of ownership_Subsidiary or Business Segment,Type of ownership_Unknown
132.5,"Tampa, FL", FL,2,51 to 200 employees,3,0,0,0,0,0,data engineer,0,1,0,0,0,0,0,0,0,0
100,"Chicago, IL", IL,2,51 to 200 employees,12,0,0,1,0,1,data engineer,0,1,0,0,0,0,0,0,0,0
105,"Denver, CO", CO,3,201 to 500 employees,9,1,0,0,0,0,data scientist,0,1,0,0,0,0,0,0,0,0
87,"Riverton, UT", UT,7,10000+ employees,-1,0,0,0,1,1,senior data engineer,0,0,0,0,0,1,0,0,0,0
103.5,"San Francisco, CA", CA,2,51 to 200 employees,7,0,0,0,0,1,data analyst,0,1,0,0,0,0,0,0,0,0
124,"Pittsburgh, PA", PA,4,501 to 1000 employees,36,1,0,0,0,1,senior research scientist,1,0,0,0,0,0,0,0,0,0
67,"Richland, WA", WA,5,1001 to 5000 employees,55,1,0,0,0,0,data scientist,0,0,0,1,0,0,0,0,0,0
87,"Washington, DC", DC,7,10000+ employees,20,0,0,0,0,0,data engineer,0,1,0,0,0,0,0,0,0,0
137.5,"Chicago, IL", IL,3,201 to 500 employees,9,1,0,1,1,1,data scientist,0,1,0,0,0,0,0,0,0,0
100,"Cincinnati, OH", OH,3,201 to 500 employees,33,1,0,0,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
106.5,"Chattanooga, TN", TN,6,5001 to 10000 employees,75,0,0,0,0,1,data engineer ii,0,0,0,0,0,1,0,0,0,0
98.5,"Richland, WA", WA,5,1001 to 5000 employees,55,0,0,0,0,0,data scientist,0,0,0,1,0,0,0,0,0,0
61,"Clearwater, FL", FL,4,501 to 1000 employees,10,1,0,0,0,1,senior data analyst,0,1,0,0,0,0,0,0,0,0
106.5,"Indianapolis, IN", IN,2,51 to 200 employees,12,1,0,1,1,0,senior spark engineer,0,1,0,0,0,0,0,0,0,0
84.5,"Cambridge, MA", MA,2,51 to 200 employees,15,1,0,1,0,0,data engineer,0,1,0,0,0,0,0,0,0,0
109.5,"Ewing, NJ", NJ,5,1001 to 5000 employees,174,1,0,0,0,1,bi & platform analytics manager,0,0,1,0,0,0,0,0,0,0
164,"Boston, MA", MA,6,5001 to 10000 employees,169,1,0,1,1,0,data scientist,0,1,0,0,0,0,0,0,0,0
169,"South San Francisco, CA", CA,7,10000+ employees,44,1,0,1,0,1,data scientist,0,0,0,0,0,0,0,0,1,0
142,"Cupertino, CA", CA,6,5001 to 10000 employees,24,1,0,1,1,1,data scientist,0,0,1,0,0,0,0,0,0,0
76.5,"Boston, MA", MA,7,10000+ employees,239,0,0,0,0,1,pricipal scientist molecular and cellular biologist,0,0,1,0,0,0,0,0,0,0
107,"Frederick, MD", MD,4,501 to 1000 employees,39,1,0,0,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
171.5,"San Jose, CA", CA,7,10000+ employees,50,1,0,0,1,0,data scientist,0,0,1,0,0,0,0,0,0,0
96,"Dallas, TX", TX,3,201 to 500 employees,7,0,0,0,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
142.5,"San Francisco, CA", CA,2,51 to 200 employees,10,0,0,0,0,0,data scientist,0,1,0,0,0,0,0,0,0,0
107,"Riverton, UT", UT,7,10000+ employees,-1,0,0,0,0,1,data engineer,0,0,0,0,0,1,0,0,0,0
145,"Marlborough, MA", MA,5,1001 to 5000 employees,10,1,0,0,0,1,senior scientist - neuroscience,0,1,0,0,0,0,0,0,0,0
61.5,"Herndon, VA", VA,3,201 to 500 employees,27,1,0,0,0,1,senior data analyst,0,0,0,0,0,1,0,0,0,0
20.5,"West Reading, PA", PA,6,5001 to 10000 employees,3,0,0,0,0,0,medical lab scientist,0,0,0,0,0,1,0,0,0,0
120,"Madison, WI", WI,2,51 to 200 employees,69,1,0,0,0,0,data scientist,0,0,0,1,0,0,0,0,0,0
